date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,symptom:combined,daily_new_positives
2021-02-07,0.0,0.000480538,0.002402691,0.000961076,0.0,0.002402691,0.002883229,0.001922153,0.000480538,0.000480538,0.0,0.0,0.000480538,0.000961076,0.0,0.0,0.0080586249,8448
2021-02-08,0.0,0.0,0.002563505,0.002330459,0.001398275,0.007224423,0.008156607,0.003262643,0.0,0.000932184,0.0,0.0,0.000932184,0.003262643,0.001398275,0.001864367,0.020011652219999995,7866
2021-02-09,0.0,0.000218245,0.001745962,0.002182453,0.001091227,0.003928416,0.005019642,0.002618944,0.000436491,0.000654736,0.0,0.0,0.000872981,0.000654736,0.000436491,0.000872981,0.012346137309999998,7101
2021-02-10,0.00020982,0.00020982,0.001678556,0.004196391,0.000839278,0.003147293,0.005455308,0.002517835,0.00020982,0.0,0.0,0.0,0.001049098,0.000629459,0.000839278,0.000839278,0.01394670536,10099
2021-02-11,0.0,0.0,0.003439207,0.00161845,0.001213838,0.00546227,0.005866882,0.002832288,0.0,0.000404613,0.0,0.000202306,0.000404613,0.000809225,0.000202306,0.000809225,0.014543798690000005,8404
2021-02-12,0.0,0.0,0.00166044,0.002283105,0.001037775,0.003528435,0.007264425,0.00166044,0.000622665,0.000622665,0.0,0.000207555,0.001037775,0.00124533,0.00041511,0.00124533,0.013748443200000002,8763
2021-02-13,0.0,0.0,0.006366308,0.001469148,0.000979432,0.008325171,0.00244858,0.000489716,0.0,0.0,0.0,0.0,0.000489716,0.000489716,0.000489716,0.000489716,0.013731636020000002,8316
2021-02-14,0.0,0.0,0.007226237,0.002223457,0.002223457,0.002779322,0.003335186,0.001111729,0.000555864,0.000555864,0.0,0.0,0.000555864,0.0,0.0,0.002223457,0.01279043857,6365
2021-02-15,0.0,0.0,0.006589786,0.001922021,0.001922021,0.006589786,0.005216914,0.002196595,0.0,0.000549149,0.0,0.0,0.000823723,0.000549149,0.001098298,0.00247117,0.017405272420000003,6753
2021-02-16,0.0,0.000217533,0.003262998,0.001522732,0.0006526,0.004350663,0.005438329,0.002610398,0.000217533,0.000435066,0.0,0.0,0.0006526,0.0006526,0.000870133,0.001087666,0.01329780308,6092
2021-02-17,0.0,0.000394166,0.003547497,0.000985416,0.000394166,0.003153331,0.002956248,0.002364998,0.000197083,0.0,0.0,0.0,0.000197083,0.000197083,0.000788333,0.000394166,0.00955262158,6794
2021-02-18,0.0,0.0,0.002722817,0.000726085,0.000181521,0.004901071,0.003811944,0.003811944,0.0,0.000363042,0.0,0.0,0.000726085,0.000726085,0.000181521,0.000726085,0.01155926707,8710
2021-02-19,0.0,0.0,0.002884061,0.000961354,0.0,0.004037685,0.004614497,0.002114978,0.000192271,0.000192271,0.0,0.0,0.001345895,0.001345895,0.0,0.000961354,0.011417035580000002,7692
2021-02-20,0.0,0.0,0.002169197,0.002711497,0.000542299,0.002169197,0.005965293,0.002711497,0.0,0.0,0.0,0.0,0.001084599,0.001084599,0.0,0.001626898,0.012765726810000001,6610
2021-02-21,0.0,0.0,0.002686728,0.001074691,0.000537346,0.005373455,0.01074691,0.001612037,0.000537346,0.000537346,0.0,0.0,0.000537346,0.0,0.0,0.000537346,0.01593229511,6146
2021-02-22,0.0,0.00040808,0.0010202,0.00265252,0.00040808,0.00387676,0.00346868,0.00224444,0.00061212,0.00142828,0.00020404,0.0,0.00040808,0.0010202,0.0010202,0.00040808,0.0109202208,6654
2021-02-23,0.0,0.001229256,0.00102438,0.001434132,0.000204876,0.007990166,0.002458513,0.001639008,0.002458513,0.00102438,0.0,0.0,0.000614628,0.000614628,0.000204876,0.00204876,0.010969063079999999,6189
2021-02-24,0.0,0.0,0.001696513,0.001508011,0.000565504,0.007163054,0.005089538,0.005089538,0.0,0.000565504,0.0,0.0,0.000565504,0.000754006,0.000377003,0.000565504,0.01491234675,8746
2021-02-25,0.0,0.0,0.001402525,0.002003606,0.000601082,0.00320577,0.005409738,0.002404328,0.0,0.000400721,0.0,0.0,0.001001803,0.000801443,0.0,0.000400721,0.011378481529999998,8204
2021-02-26,0.0,0.0,0.003140704,0.001675042,0.00041876,0.004815745,0.003350084,0.003978224,0.00041876,0.00041876,0.00020938,0.0,0.000628141,0.00041876,0.001884422,0.00020938,0.012922947599999998,8141
2021-02-27,0.0,0.0,0.002117522,0.001058761,0.000529381,0.011646374,0.005293806,0.008999471,0.0,0.0,0.000529381,0.0,0.002117522,0.0,0.0,0.000529381,0.02031233449,7580
2021-02-28,0.0,0.0,0.002357379,0.001885903,0.000471476,0.002828854,0.002828854,0.001885903,0.0,0.000942951,0.0,0.0,0.000942951,0.000942951,0.0,0.000471476,0.00929750091,6235
2021-03-01,0.0,0.0,0.004682744,0.000936549,0.000468274,0.003512058,0.004448607,0.002341372,0.0,0.001170686,0.0,0.0,0.000468274,0.001404823,0.000702412,0.003512058,0.01273003965,5800
2021-03-02,0.0,0.0,0.00413403,0.003698869,0.000870322,0.006092254,0.00848564,0.003046127,0.000870322,0.001740644,0.0,0.0,0.000217581,0.004569191,0.001087903,0.001740644,0.021744996960000002,7704
2021-03-03,0.0,0.000222668,0.001558673,0.00178134,0.000445335,0.005789356,0.004230684,0.002449343,0.0,0.000222668,0.0,0.0,0.000222668,0.004898686,0.000222668,0.00089067,0.01418392322,7593
2021-03-04,0.0,0.000220264,0.004845815,0.002202643,0.001321586,0.007048458,0.005726872,0.001321586,0.000440529,0.000660793,0.000440529,0.0,0.001101322,0.000660793,0.0,0.002202643,0.0164955947,8956
2021-03-05,0.0,0.0,0.001107665,0.001550731,0.000443066,0.007310589,0.003987594,0.000886132,0.000221533,0.0,0.0,0.0,0.001329198,0.001107665,0.000443066,0.000443066,0.01173238768,7647
2021-03-06,0.0,0.0,0.002096436,0.002096436,0.000524109,0.008385744,0.003668763,0.001048218,0.000524109,0.0,0.0,0.0,0.0,0.000524109,0.000524109,0.000524109,0.01261006254,6789
2021-03-07,0.0,0.0,0.003053435,0.001526718,0.001526718,0.011195929,0.007124682,0.002035623,0.0,0.0,0.0,0.0,0.000508906,0.000508906,0.000508906,0.002035623,0.01855979701,5309
2021-03-08,0.0,0.0,0.002186058,0.001700267,0.000242895,0.008015545,0.00412922,0.001943162,0.0,0.001457372,0.0,0.0,0.000242895,0.002186058,0.001214477,0.000242895,0.014163224910000001,6850
2021-03-09,0.0,0.0,0.002668607,0.001940805,0.000727802,0.002426007,0.003881611,0.002183406,0.0,0.0,0.0,0.000242601,0.000242601,0.000970403,0.000485201,0.000485201,0.01040271673,6489
2021-03-10,0.0,0.0,0.003854875,0.004535147,0.000226757,0.003854875,0.006575964,0.001360544,0.0,0.000680272,0.0,0.0,0.000453515,0.003174603,0.000226757,0.000907029,0.016950112429999997,6747
2021-03-11,0.0,0.000214408,0.00364494,0.002144082,0.000857633,0.009433962,0.004288165,0.001500858,0.000214408,0.000428816,0.0,0.0,0.001072041,0.002144082,0.001072041,0.000428816,0.01670240104,9299
2021-03-12,0.0,0.0,0.006836828,0.002962625,0.000227894,0.005697356,0.007064722,0.002506837,0.000227894,0.000683683,0.000227894,0.0,0.002051048,0.001367366,0.000683683,0.000455789,0.01949863244,6600
2021-03-13,0.0,0.0,0.000512033,0.001024066,0.000512033,0.005120328,0.002560164,0.0,0.0,0.0,0.0,0.0,0.001024066,0.0,0.0,0.001024066,0.007081414350000001,5943
2021-03-14,0.0,0.0,0.007466401,0.003484321,0.0,0.007964161,0.007964161,0.00298656,0.0,0.0,0.00049776,0.0,0.00099552,0.00099552,0.00049776,0.0,0.022120457290000003,5807
2021-03-15,0.0,0.0,0.002587626,0.004234298,0.000705716,0.00376382,0.008233357,0.00188191,0.0,0.000940955,0.0,0.0,0.000235239,0.000705716,0.000705716,0.000470478,0.0163114556,6508
2021-03-16,0.0,0.000231214,0.003699422,0.003930636,0.000462428,0.004624277,0.008323699,0.003236994,0.000231214,0.000462428,0.0,0.000231214,0.000462428,0.000693642,0.001156069,0.000693642,0.018418496859999998,8976
2021-03-17,0.0,0.0,0.001318102,0.001318102,0.0,0.003075571,0.003954306,0.001318102,0.0,0.000219684,0.0,0.0,0.000659051,0.000659051,0.000878735,0.000439367,0.00879393706,7796
2021-03-18,0.0,0.0,0.001464435,0.00083682,0.00209205,0.00334728,0.003556485,0.00167364,0.000209205,0.0,0.0,0.000209205,0.003138075,0.000627615,0.000209205,0.002719665,0.01021129605,8262
2021-03-19,0.0,0.0,0.001817356,0.002498864,0.001135847,0.001817356,0.003861881,0.000681508,0.0,0.000454339,0.0,0.0,0.000454339,0.000454339,0.000227169,0.001363017,0.00897546544,7623
2021-03-20,0.0,0.0,0.001028807,0.00617284,0.0,0.00308642,0.005658436,0.00154321,0.0,0.0,0.0,0.0,0.000514403,0.000514403,0.000514403,0.000514403,0.013924897430000001,7938
2021-03-21,0.0,0.0,0.000539957,0.002159827,0.000539957,0.006479482,0.006479482,0.002159827,0.0,0.0,0.0,0.0,0.003239741,0.0,0.0,0.0,0.013936285560000001,6361
2021-03-22,0.0,0.000481812,0.000963623,0.001445435,0.000240906,0.002649964,0.00457721,0.00289087,0.0,0.000722717,0.0,0.0,0.000481812,0.000963623,0.000963623,0.000481812,0.010180679499999998,6801
2021-03-23,0.0,0.0,0.000669792,0.001339585,0.0,0.004911811,0.004242018,0.001786113,0.000446528,0.000669792,0.0,0.000223264,0.000446528,0.001786113,0.000223264,0.000223264,0.0103505245,7278
2021-03-24,0.0,0.000448732,0.000448732,0.002019295,0.000224366,0.006282253,0.003365492,0.003141126,0.000448732,0.000448732,0.000224366,0.0,0.001794929,0.001346197,0.000224366,0.002019295,0.012465782719999999,8081
2021-03-25,0.0,0.0,0.0004158,0.0002079,0.0,0.006860707,0.005197505,0.002079002,0.0002079,0.0,0.0,0.0,0.0002079,0.000831601,0.0,0.0004158,0.01067359609,8507
2021-03-26,0.0,0.0,0.000463499,0.000463499,0.000926999,0.003707995,0.006952491,0.002780997,0.00023175,0.000463499,0.0,0.0,0.00023175,0.0,0.00023175,0.000463499,0.010767090949999999,8201
2021-03-27,0.0,0.0,0.000505561,0.001516684,0.0,0.006066734,0.003538928,0.000505561,0.000505561,0.000505561,0.0,0.0,0.000505561,0.0,0.0,0.000505561,0.00872093013,9395
2021-03-28,0.0,0.0,0.0,0.0,0.000533618,0.003735326,0.001600854,0.001600854,0.0,0.000533618,0.0,0.0,0.000533618,0.0,0.0,0.0,0.004925294140000001,7622
2021-03-29,0.0,0.0,0.001413095,0.001413095,0.001177579,0.005887894,0.004710316,0.002119642,0.000235516,0.000706547,0.0,0.0,0.001884126,0.000706547,0.000942063,0.000942063,0.01273669355,6488
2021-03-30,0.0,0.000245098,0.001960784,0.001470588,0.000980392,0.005147059,0.008578431,0.00245098,0.000245098,0.000490196,0.0,0.0,0.000735294,0.002205882,0.000980392,0.000735294,0.0163872537,8382
2021-03-31,0.0,0.0,0.004639859,0.002430402,0.00154662,0.008395935,0.009058772,0.001767565,0.0,0.000220946,0.0,0.0,0.001325674,0.000662837,0.000441891,0.00154662,0.02025408835,8888
2021-04-01,0.0,0.0,0.001149866,0.00134151,0.000383289,0.005557685,0.003641242,0.003066309,0.0,0.000766577,0.000191644,0.0,0.002299732,0.001724799,0.000383289,0.000958222,0.0123284789,7787
2021-04-02,0.0,0.0,0.002392865,0.001087666,0.000435066,0.007831194,0.005873396,0.003262998,0.0,0.0,0.0,0.0,0.001087666,0.000435066,0.000217533,0.001087666,0.01491189921,7846
2021-04-03,0.0,0.0,0.003871681,0.001106195,0.001659292,0.007743363,0.009402655,0.004424779,0.0,0.0,0.0,0.0,0.002212389,0.001659292,0.0,0.001106195,0.02077433651,7467
2021-04-04,0.0,0.0,0.001148765,0.001148765,0.002871913,0.00459506,0.003446295,0.002871913,0.0,0.0,0.0,0.0,0.001148765,0.001148765,0.0,0.003446295,0.011573807859999998,6583
2021-04-05,0.0,0.0,0.001961746,0.001961746,0.000735655,0.004904365,0.003923492,0.001471309,0.0,0.000490436,0.000245218,0.0,0.001226091,0.000980873,0.000490436,0.001716528,0.011760666659999999,5748
2021-04-06,0.0,0.0,0.00112765,0.00315742,0.00045106,0.00631484,0.00608931,0.00202977,0.00022553,0.00045106,0.0,0.0,0.00067659,0.00067659,0.00022553,0.00090212,0.014341452699999998,7213
2021-04-07,0.0,0.0,0.001122839,0.002694812,0.001122839,0.006287896,0.003593083,0.001571974,0.0,0.000224568,0.0,0.0,0.000449135,0.00291938,0.000673703,0.001571974,0.01338872637,8379
2021-04-08,0.0,0.0,0.001820388,0.000606796,0.000606796,0.003640777,0.004854369,0.002427184,0.000606796,0.0,0.0,0.0,0.005461165,0.001213592,0.000606796,0.0,0.012251213000000002,9014
2021-04-09,0.0,0.0,0.001058201,0.003174603,0.002116402,0.005291005,0.005291005,0.002116402,0.0,0.001058201,0.001058201,0.001058201,0.003174603,0.002116402,0.001058201,0.002116402,0.01665608374,7283
2021-04-10,0.0,0.0,0.0,0.005128205,0.0,0.007692308,0.007692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01523076956,6764
2021-04-11,0.0,0.0,0.001984127,0.0,0.0,0.007936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00617063497,4926
2021-04-12,0.0,0.0,0.003154574,0.004416404,0.002523659,0.008832808,0.010094637,0.001892744,0.0,0.00126183,0.0,0.0,0.00126183,0.00126183,0.00126183,0.001892744,0.02322397494,5029
2021-04-13,0.0,0.0,0.001368738,0.000547495,0.000821243,0.006569943,0.006296195,0.022994799,0.0,0.000273748,0.0,0.0,0.001368738,0.024637284,0.000547495,0.002737476,0.03939501783,6192
2021-04-14,0.0,0.0,0.000560957,0.000560957,0.000934929,0.004861631,0.00355273,0.012715034,0.0,0.0,0.0,0.0,0.001121915,0.009349289,0.0,0.001121915,0.02039453987,6884
2021-04-15,0.0,0.0,0.001996008,0.000544366,0.000181455,0.003992016,0.003266195,0.003629105,0.0,0.000181455,0.0,0.0,0.000362911,0.001088732,0.000181455,0.000181455,0.00985302138,6555
2021-04-16,0.0,0.0,0.001043623,0.000417449,0.0,0.005009393,0.003339595,0.002504696,0.000208725,0.0,0.0,0.0,0.000834899,0.001878522,0.0,0.000417449,0.00967230152,8235
2021-04-17,0.0,0.0,0.000839631,0.000839631,0.0,0.008396306,0.004198153,0.001679261,0.0,0.0,0.0,0.0,0.0,0.001679261,0.0,0.0,0.011746432449999998,5704
2021-04-18,0.0,0.0,0.0,0.0,0.0,0.002320186,0.0,0.001160093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002320186,0.0024245943700000002,4339
2021-04-19,0.0,0.0,0.001285898,0.001714531,0.0,0.002143163,0.002786112,0.002786112,0.0,0.000642949,0.000428633,0.0,0.0,0.001500214,0.000857265,0.0,0.00891984529,3922
2021-04-20,0.0,0.0,0.001113999,0.000557,0.000557,0.003156331,0.002227999,0.001299666,0.0,0.000371333,0.0,0.0,0.000185667,0.001485332,0.000371333,0.001670999,0.00716301582,4326
2021-04-21,0.0,0.0,0.001486989,0.000557621,0.000185874,0.00260223,0.00204461,0.000929368,0.0,0.0,0.000185874,0.0,0.000557621,0.000371747,0.000371747,0.000371747,0.005988848010000001,4996
2021-04-22,0.0,0.0,0.001477378,0.002031394,0.000369344,0.004432133,0.004432133,0.002585411,0.0,0.000184672,0.000184672,0.0,0.001846722,0.002400739,0.000369344,0.000554017,0.01292890105,4901
2021-04-23,0.0,0.0,0.002335994,0.00253066,0.000973331,0.003893323,0.006034651,0.004477321,0.000194666,0.000389332,0.0,0.0,0.001557329,0.003309325,0.000389332,0.001557329,0.01662448953,4164
2021-04-24,0.0,0.0,0.000528821,0.003172924,0.001057641,0.008989952,0.007932311,0.001586462,0.000528821,0.0,0.0,0.0,0.000528821,0.001586462,0.0,0.000528821,0.017408777799999997,4087
2021-04-25,0.0,0.0,0.001966568,0.000491642,0.000491642,0.004916421,0.001474926,0.003933137,0.0,0.0,0.0,0.0,0.0,0.000491642,0.0,0.000491642,0.008731563130000002,3039
2021-04-26,0.0,0.0,0.000984446,0.000984446,0.000393778,0.004331561,0.001772002,0.00236267,0.0,0.000787557,0.0,0.0,0.000196889,0.001181335,0.000787557,0.000393778,0.008200433129999999,2704
2021-04-27,0.0,0.0,0.002089269,0.001139601,0.000379867,0.003988604,0.003988604,0.005128205,0.0,0.000379867,0.0,0.0,0.000379867,0.001329535,0.000569801,0.000189934,0.012246913949999999,3146
2021-04-28,0.0,0.0,0.000866701,0.002600104,0.000346681,0.004853527,0.003813486,0.002773444,0.0,0.000346681,0.0,0.000346681,0.001040042,0.000693361,0.000346681,0.000520021,0.011547928549999998,4073
2021-04-29,0.0,0.0,0.001023018,0.002728048,0.000341006,0.002216539,0.00170503,0.001023018,0.000170503,0.000511509,0.0,0.0,0.001023018,0.000170503,0.000341006,0.000170503,0.007011083360000001,3868
2021-04-30,0.0,0.0,0.001279941,0.000731395,0.000914244,0.002377034,0.003656976,0.00146279,0.000365698,0.000365698,0.0,0.0,0.001645639,0.000731395,0.0,0.000731395,0.008102029089999999,3725
2021-05-01,0.0,0.0,0.000957854,0.001436782,0.0,0.002873563,0.004789272,0.002873563,0.000478927,0.0,0.0,0.0,0.000478927,0.000478927,0.0,0.0,0.009554597299999999,2849
2021-05-02,0.0,0.0,0.001767826,0.0,0.0,0.003535651,0.003535651,0.001767826,0.000589275,0.000589275,0.0,0.0,0.001767826,0.00117855,0.0,0.001767826,0.00868002386,2200
2021-05-03,0.0,0.0,0.003267307,0.001633653,0.0,0.004084133,0.00428834,0.00061262,0.000204207,0.000816827,0.0,0.0,0.000408413,0.001021033,0.00061262,0.000408413,0.01077394311,2173
2021-05-04,0.0,0.0,0.000575374,0.000958957,0.001342539,0.002685079,0.003068661,0.000191791,0.0,0.0,0.0,0.0,0.000191791,0.000383583,0.000191791,0.000383583,0.006321442230000001,2463
2021-05-05,0.0,0.0,0.001691411,0.000939673,0.0,0.0048863,0.005262169,0.002631084,0.0,0.000187935,0.0,0.0,0.000751738,0.000939673,0.000563804,0.000751738,0.011760947079999999,2585
2021-05-06,0.0,0.0,0.000353419,0.000706839,0.00017671,0.001590387,0.003887613,0.001590387,0.00017671,0.0,0.0,0.0,0.000530129,0.0,0.00017671,0.00017671,0.00619190736,2370
2021-05-07,0.0,0.0,0.000574933,0.000574933,0.0,0.000383289,0.00268302,0.000766577,0.000191644,0.0,0.0,0.0,0.000191644,0.000191644,0.0,0.000191644,0.00388079688,3195
2021-05-08,0.0,0.002257336,0.0,0.003386005,0.000564334,0.004514673,0.009029345,0.004514673,0.002257336,0.002257336,0.0,0.000564334,0.002257336,0.002257336,0.0,0.003386005,0.01874717846,2269
2021-05-09,0.0,0.0,0.0,0.001675042,0.0,0.002791736,0.001675042,0.001675042,0.0,0.0,0.0,0.0,0.0,0.000558347,0.0,0.000558347,0.00585706288,1580
2021-05-10,0.0,0.000197902,0.004749654,0.001979022,0.0,0.005541263,0.005937067,0.003166436,0.000395804,0.000989511,0.0,0.0,0.000791609,0.000791609,0.000791609,0.000395804,0.015836137110000002,1516
2021-05-11,0.0,0.0,0.00222387,0.00222387,0.00148258,0.003521127,0.005003706,0.004077094,0.000185322,0.0,0.000185322,0.000185322,0.001111935,0.00074129,0.000370645,0.001297257,0.01367679797,1830
