date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,symptom:combined,daily_new_positives
2021-03-25,0,0,2,1,0,33,25,10,1,0,0,0,1,4,0,2,51.34,8507
2021-03-26,0,0,2,2,4,16,30,12,1,2,0,0,1,0,1,2,46.46000000000001,8201
2021-03-27,0,0,1,3,0,12,7,1,1,1,0,0,1,0,0,1,17.25,9395
2021-03-28,0,0,0,0,1,7,3,3,0,1,0,0,1,0,0,0,9.23,7622
2021-03-29,0,0,6,6,5,25,20,9,1,3,0,0,8,3,4,4,54.080000000000005,6488
2021-03-30,0,1,8,6,4,21,35,10,1,2,0,0,3,9,4,3,66.86,8382
2021-03-31,0,0,21,11,7,38,41,8,0,1,0,0,6,3,2,7,91.67,8888
2021-04-01,0,0,6,7,2,29,19,16,0,4,1,0,12,9,2,5,64.33,7787
2021-04-02,0,0,11,5,2,36,27,15,0,0,0,0,5,2,1,5,68.55000000000001,7846
2021-04-03,0,0,7,2,3,14,17,8,0,0,0,0,4,3,0,2,37.559999999999995,7467
2021-04-04,0,0,2,2,5,8,6,5,0,0,0,0,2,2,0,6,20.15,6583
2021-04-05,0,0,8,8,3,20,16,6,0,2,1,0,5,4,2,7,47.96,5748
2021-04-06,0,0,5,14,2,28,27,9,1,2,0,0,3,3,1,4,63.59,7213
2021-04-07,0,0,5,12,5,28,16,7,0,1,0,0,2,13,3,7,59.62,8379
2021-04-08,0,0,3,1,1,6,8,4,1,0,0,0,9,2,1,0,20.189999999999998,9014
2021-04-09,0,0,1,3,2,5,5,2,0,1,1,1,3,2,1,2,15.74,7283
2021-04-10,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,5.9399999999999995,6764
2021-04-11,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3.11,4926
2021-04-12,0,0,5,7,4,14,16,3,0,2,0,0,2,2,2,3,36.81,5029
2021-04-13,0,0,5,2,3,24,23,84,0,1,0,0,5,90,2,10,143.90999999999997,6192
2021-04-14,0,0,3,3,5,26,19,68,0,0,0,0,6,50,0,6,109.07000000000001,6884
2021-04-15,0,0,11,3,1,22,18,20,0,1,0,0,2,6,1,1,54.3,6555
2021-04-16,0,0,5,2,0,24,16,12,1,0,0,0,4,9,0,2,46.339999999999996,8235
2021-04-17,0,0,1,1,0,10,5,2,0,0,0,0,0,2,0,0,13.989999999999998,5704
2021-04-18,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,2.09,4339
2021-04-19,0,0,6,8,0,10,13,13,0,3,2,0,0,7,4,0,41.62,3922
2021-04-20,0,0,6,3,3,17,12,7,0,2,0,0,1,8,2,9,38.580000000000005,4326
2021-04-21,0,0,8,3,1,14,11,5,0,0,1,0,3,2,2,2,32.22,4996
2021-04-22,0,0,8,11,2,24,24,14,0,1,1,0,10,13,2,3,70.01,4901
2021-04-23,0,0,12,13,5,20,31,23,1,2,0,0,8,17,2,8,85.4,4164
2021-04-24,0,0,1,6,2,17,15,3,1,0,0,0,1,3,0,1,32.92,4087
2021-04-25,0,0,4,1,1,10,3,8,0,0,0,0,0,1,0,1,17.759999999999998,3039
2021-04-26,0,0,5,5,2,22,9,12,0,4,0,0,1,6,4,2,41.65,2704
2021-04-27,0,0,11,6,2,21,21,27,0,2,0,0,2,7,3,1,64.48,3146
2021-04-28,0,0,5,15,2,28,22,16,0,2,0,2,6,4,2,3,66.62,4073
2021-04-29,0,0,6,16,2,13,10,6,1,3,0,0,6,1,2,1,41.12,3868
2021-04-30,0,0,7,4,5,13,20,8,2,2,0,0,9,4,0,4,44.31,3725
2021-05-01,0,0,2,3,0,6,10,6,1,0,0,0,1,1,0,0,19.95,2849
2021-05-02,0,0,3,0,0,6,6,3,1,1,0,0,3,2,0,3,14.73,2200
2021-05-03,0,0,16,8,0,20,21,3,1,4,0,0,2,5,3,2,52.760000000000005,2173
2021-05-04,0,0,3,5,7,14,16,1,0,0,0,0,1,2,1,2,32.96,2463
2021-05-05,0,0,9,5,0,26,28,14,0,1,0,0,4,5,3,4,62.580000000000005,2585
2021-05-06,0,0,2,4,1,9,22,9,1,0,0,0,3,0,1,1,35.040000000000006,2370
2021-05-07,0,0,3,3,0,2,14,4,1,0,0,0,1,1,0,1,20.249999999999996,3195
2021-05-08,0,4,0,6,1,8,16,8,4,4,0,1,4,4,0,6,33.220000000000006,2269
2021-05-09,0,0,0,3,0,5,3,3,0,0,0,0,0,1,0,1,10.49,1580
2021-05-10,0,1,24,10,0,28,30,16,2,5,0,0,4,4,4,2,80.02000000000001,1516
2021-05-11,0,0,12,12,8,19,27,22,1,0,1,1,6,4,2,7,73.8,1830
2021-05-12,0,0,18,6,1,21,25,15,1,1,1,2,2,3,2,1,62.780000000000015,2216
2021-05-13,0,0,5,7,6,15,22,23,2,2,0,0,6,4,2,5,57.55,2068
2021-05-14,0,0,6,9,2,19,22,14,0,1,1,0,1,1,1,2,51.940000000000005,2041
2021-05-15,0,0,0,2,0,2,8,3,0,0,0,0,0,1,0,1,11.790000000000001,1561
2021-05-16,0,0,4,1,0,6,10,3,0,0,0,0,3,0,0,2,18.13,1278
2021-05-17,0,0,5,7,3,11,13,13,0,4,0,0,3,10,6,4,44.70000000000001,1030
2021-05-18,4,4,3,11,1,10,13,17,4,6,0,0,5,8,3,4,47.720000000000006,1431
2021-05-19,0,1,2,11,2,5,20,3,1,1,1,1,4,6,0,2,38.1,1583
2021-05-20,0,1,4,3,2,10,27,6,1,0,0,0,1,5,1,4,41.45000000000001,1540
2021-05-21,0,0,2,5,4,19,14,7,2,0,0,0,2,3,5,7,39.39,1347
2021-05-22,0,0,1,2,8,10,17,1,2,0,0,2,3,2,2,5,29.549999999999997,1073
2021-05-23,0,0,0,2,1,7,8,2,0,0,1,0,0,2,0,1,15.880000000000003,929
2021-05-24,0,0,5,6,1,20,20,15,0,5,2,0,2,4,6,5,53.089999999999996,767
2021-05-25,0,0,12,7,1,33,12,25,0,1,2,0,2,7,2,2,65.62,936
2021-05-26,0,0,4,4,1,16,19,10,0,0,0,0,2,2,1,2,39.76,1055
2021-05-27,0,0,3,7,2,10,23,12,0,0,0,0,4,2,2,0,43.510000000000005,937
2021-05-28,0,0,2,3,4,7,15,3,0,1,0,0,6,3,2,6,28.74,870
2021-05-29,0,0,1,1,2,2,8,1,0,0,0,0,1,1,0,3,11.76,785
2021-05-30,0,1,0,2,0,7,5,2,1,0,0,0,0,1,1,0,12.37,494
2021-05-31,0,1,4,1,1,12,7,4,1,0,0,0,1,1,1,1,20.779999999999998,391
2021-06-01,0,0,4,4,2,13,23,17,0,2,0,0,2,3,5,1,47.650000000000006,431
2021-06-02,0,0,2,6,0,7,11,17,0,0,2,0,4,2,1,6,34.410000000000004,565
2021-06-03,0,0,3,13,1,15,18,10,0,2,0,0,2,1,2,2,45.1,779
2021-06-04,0,0,2,5,11,12,13,14,1,0,0,0,18,0,1,18,44.59999999999999,761
2021-06-05,0,0,0,3,4,8,6,1,0,0,0,0,4,1,0,4,16.84,549
2021-06-06,0,0,0,0,1,9,3,4,0,0,0,0,1,6,0,1,14.610000000000001,463
2021-06-07,0,0,2,6,3,6,12,19,0,2,2,0,6,2,2,2,37.47,442
2021-06-08,0,0,1,3,2,8,15,7,0,0,0,0,4,3,1,3,28.86,426
2021-06-09,0,1,3,3,4,16,10,11,1,0,0,0,4,2,0,4,33.56,566
2021-06-10,0,1,19,4,8,22,32,25,2,1,0,0,5,6,3,12,80.44000000000001,480
2021-06-11,0,0,4,6,1,13,19,9,0,0,0,0,1,4,3,2,40.59,533
2021-06-12,0,0,0,3,3,11,2,3,0,0,1,0,2,3,0,2,17.13,383
2021-06-13,0,0,2,0,7,8,9,7,0,0,0,0,5,0,2,3,23.1,320
2021-06-14,0,0,13,6,5,15,11,16,0,5,0,0,4,5,7,7,50.589999999999996,320
2021-06-15,1,2,3,5,1,14,11,2,1,2,0,0,2,5,3,6,31.24,349
2021-06-16,0,0,1,6,2,23,9,5,0,2,0,0,2,3,8,4,36.95,418
2021-06-17,0,0,6,4,1,4,18,6,1,1,0,0,2,6,3,4,33.760000000000005,370
2021-06-18,0,1,2,5,2,14,11,5,1,4,0,0,1,6,2,1,31.54,418
2021-06-19,0,0,1,1,0,4,6,0,0,0,0,0,0,2,0,0,9.89,258
2021-06-20,1,1,0,3,2,4,10,3,0,0,0,0,1,0,0,2,16.529999999999998,251
2021-06-21,0,0,3,5,1,12,11,6,0,2,0,0,4,4,2,1,30.82,260
2021-06-22,0,0,3,4,2,13,10,6,0,2,0,0,2,2,5,4,29.950000000000003,310
2021-06-23,0,0,8,2,3,21,24,9,2,1,1,3,6,7,1,5,53.4,343
2021-06-24,0,0,1,7,2,9,14,12,2,2,1,0,2,2,0,1,33.71,343
2021-06-25,0,4,3,2,4,8,7,7,2,0,0,0,6,3,0,4,24.849999999999998,385
2021-06-26,0,0,0,3,4,8,17,5,0,0,0,0,4,5,0,3,30.15,346
2021-06-27,0,0,1,2,2,4,6,3,0,0,0,0,0,1,0,2,12.950000000000001,290
2021-06-28,0,0,4,5,4,8,14,9,1,3,0,0,8,4,3,9,37.080000000000005,275
2021-06-29,0,0,2,9,14,9,10,17,1,0,1,0,17,2,3,13,48.19,345
2021-06-30,0,0,2,7,0,14,16,5,2,0,0,0,3,5,3,2,36.9,411
2021-07-01,0,0,4,4,5,11,17,5,0,0,0,0,3,1,0,4,33.26,506
2021-07-02,1,1,4,2,9,9,15,7,1,2,1,0,4,3,2,2,34.49,410
2021-07-03,0,1,2,0,2,7,6,6,1,0,0,0,1,0,1,0,15.639999999999999,421
2021-07-04,0,0,3,2,5,12,17,13,0,0,0,0,1,6,0,2,38.2,368
2021-07-05,0,0,3,6,3,10,13,11,1,2,0,0,7,4,3,5,37.67,255
2021-07-06,0,0,7,4,8,7,13,11,1,2,1,0,14,4,4,17,43.52,486
2021-07-07,0,1,3,5,3,20,14,13,1,1,0,0,3,5,2,4,43.89000000000001,670
2021-07-08,0,1,2,9,4,19,35,8,0,1,0,0,1,0,1,0,55.78000000000001,817
2021-07-09,0,0,9,4,3,24,21,25,0,0,0,0,3,2,1,3,59.550000000000004,661
2021-07-10,0,0,3,2,1,8,5,4,1,0,0,0,1,0,1,0,16.009999999999998,666
2021-07-11,0,0,2,1,1,3,9,3,0,0,1,1,2,0,2,2,15.780000000000001,573
2021-07-12,0,0,5,11,7,10,18,6,0,8,15,0,2,3,2,1,51.96000000000001,643
2021-07-13,0,0,3,2,6,15,13,7,0,1,6,0,3,1,2,6,36.63000000000001,812
2021-07-14,0,0,4,8,4,18,8,6,0,1,2,0,4,2,2,7,37.33,956
2021-07-15,0,0,8,6,3,11,19,12,0,1,1,0,3,2,1,4,44.03000000000001,981
2021-07-16,0,0,5,4,1,12,20,12,0,0,0,0,6,2,4,8,43.23,1156
2021-07-17,0,0,0,4,0,4,13,5,0,3,1,0,1,0,4,2,22.02,1142
2021-07-18,0,0,1,6,0,11,8,3,0,1,0,0,2,0,2,1,22.27,823
2021-07-19,0,0,3,6,0,12,9,12,1,3,0,0,4,5,8,7,36.96999999999999,1144
2021-07-20,0,0,4,5,4,16,10,4,0,0,0,0,3,8,2,3,35.290000000000006,1452
2021-07-21,0,2,2,12,4,12,10,11,2,0,1,0,3,5,6,3,42.480000000000004,1584
2021-07-22,0,0,10,14,10,12,27,17,0,5,4,0,9,4,6,10,72.49,1830
2021-07-23,0,0,5,11,4,15,14,9,0,0,2,0,4,1,2,6,44.49000000000001,1846
2021-07-24,0,0,3,8,2,15,8,11,0,0,0,0,4,0,1,1,33.45,1982
2021-07-25,0,0,6,10,5,31,11,9,0,5,1,0,6,6,5,5,56.150000000000006,1296
2021-07-26,0,1,4,5,0,18,10,10,2,5,0,0,1,3,3,2,35.49,1679
2021-07-27,0,0,4,5,5,18,11,14,2,2,0,0,7,5,4,5,44.32,2203
2021-07-28,0,0,5,3,5,10,17,7,1,8,0,0,8,2,3,9,37.73,2567
2021-07-29,0,0,8,3,4,8,25,11,2,3,3,0,4,0,2,4,45.10000000000001,2677
